reference_label,candidate_label,iou,reference_volume_voxels,candidate_volume_voxels,volume_mean_voxels,volume_difference_voxels,volume_difference_percent,is_volume_outlier
126,126,1.0,762,762,762.0,0,0.0,False
127,127,1.0,561,561,561.0,0,0.0,False
128,128,1.0,1135,1135,1135.0,0,0.0,False
129,129,1.0,918,918,918.0,0,0.0,False
130,130,1.0,760,760,760.0,0,0.0,False
131,131,1.0,634,634,634.0,0,0.0,False
132,132,1.0,2168,2168,2168.0,0,0.0,False
133,133,1.0,729,729,729.0,0,0.0,False
134,134,1.0,562,562,562.0,0,0.0,False
135,135,1.0,707,707,707.0,0,0.0,False
136,136,1.0,528,528,528.0,0,0.0,False
137,137,1.0,727,727,727.0,0,0.0,False
138,138,1.0,1017,1017,1017.0,0,0.0,False
139,139,1.0,507,507,507.0,0,0.0,False
140,140,1.0,767,767,767.0,0,0.0,False
141,141,1.0,1335,1335,1335.0,0,0.0,False
142,142,1.0,434,434,434.0,0,0.0,False
143,143,1.0,336,336,336.0,0,0.0,False
144,144,1.0,1024,1024,1024.0,0,0.0,False
145,145,1.0,654,654,654.0,0,0.0,False
146,146,1.0,580,580,580.0,0,0.0,False
147,147,1.0,289,289,289.0,0,0.0,False
148,148,1.0,716,716,716.0,0,0.0,False
149,149,1.0,599,599,599.0,0,0.0,False
150,150,1.0,544,544,544.0,0,0.0,False
151,151,1.0,240,240,240.0,0,0.0,False
152,152,1.0,842,842,842.0,0,0.0,False
153,153,1.0,594,594,594.0,0,0.0,False
154,154,1.0,686,686,686.0,0,0.0,False
155,155,1.0,772,772,772.0,0,0.0,False
156,156,1.0,378,378,378.0,0,0.0,False
157,157,1.0,860,860,860.0,0,0.0,False
158,158,1.0,446,446,446.0,0,0.0,False
159,159,1.0,359,359,359.0,0,0.0,False
160,160,1.0,710,710,710.0,0,0.0,False
161,161,1.0,558,558,558.0,0,0.0,False
162,162,1.0,840,840,840.0,0,0.0,False
163,163,1.0,1318,1318,1318.0,0,0.0,False
164,164,1.0,1027,1027,1027.0,0,0.0,False
165,165,1.0,513,513,513.0,0,0.0,False
166,166,1.0,597,597,597.0,0,0.0,False
167,167,1.0,736,736,736.0,0,0.0,False
168,168,1.0,434,434,434.0,0,0.0,False
169,169,1.0,572,572,572.0,0,0.0,False
170,170,1.0,1356,1356,1356.0,0,0.0,False
171,171,1.0,975,975,975.0,0,0.0,False
172,172,1.0,824,824,824.0,0,0.0,False
173,173,1.0,808,808,808.0,0,0.0,False
174,174,1.0,704,704,704.0,0,0.0,False
175,175,1.0,611,611,611.0,0,0.0,False
176,176,1.0,657,657,657.0,0,0.0,False
177,177,1.0,1377,1377,1377.0,0,0.0,False
178,178,1.0,1052,1052,1052.0,0,0.0,False
179,179,1.0,697,697,697.0,0,0.0,False
180,180,1.0,625,625,625.0,0,0.0,False
181,181,1.0,544,544,544.0,0,0.0,False
182,182,1.0,923,923,923.0,0,0.0,False
183,183,1.0,596,596,596.0,0,0.0,False
184,184,1.0,1159,1159,1159.0,0,0.0,False
185,185,1.0,1238,1238,1238.0,0,0.0,False
186,186,1.0,549,549,549.0,0,0.0,False
187,187,1.0,745,745,745.0,0,0.0,False
188,188,1.0,805,805,805.0,0,0.0,False
189,189,1.0,783,783,783.0,0,0.0,False
190,190,1.0,529,529,529.0,0,0.0,False
191,191,1.0,1046,1046,1046.0,0,0.0,False
192,192,1.0,545,545,545.0,0,0.0,False
193,193,1.0,686,686,686.0,0,0.0,False
194,194,1.0,705,705,705.0,0,0.0,False
195,195,1.0,504,504,504.0,0,0.0,False
196,196,1.0,1092,1092,1092.0,0,0.0,False
197,197,1.0,442,442,442.0,0,0.0,False
198,198,1.0,1103,1103,1103.0,0,0.0,False
199,199,1.0,697,697,697.0,0,0.0,False
200,200,1.0,780,780,780.0,0,0.0,False
201,201,1.0,606,606,606.0,0,0.0,False
202,202,1.0,806,806,806.0,0,0.0,False
203,203,1.0,773,773,773.0,0,0.0,False
204,204,1.0,320,320,320.0,0,0.0,False
205,205,1.0,728,728,728.0,0,0.0,False
