name,reference_count,candidate_count,count_delta,count_delta_percent,foreground_iou,optimal_matched_mean_iou,f1_at_0_50,f1_at_0_75,matched_mean_iou_at_0_50,matched_mean_iou_at_0_75,volume_wasserstein_voxels,volume_ks_statistic,median_volume_delta_percent,bland_altman_mean_difference_voxels,bland_altman_lower_limit_voxels,bland_altman_upper_limit_voxels,volume_outlier_count,likely_causes
CRISPRi_DHS2_DHS15__Explant_2__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red.tif,2193,2193,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_2__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red001.tif,2735,2735,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_2__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red002.tif,2570,2570,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_2__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red003.tif,2820,2820,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_3__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red.tif,3095,3095,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_3__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red001.tif,2956,2956,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_3__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red002.tif,2596,2596,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_3__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red003.tif,3287,3287,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_3__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red40x.tif,1745,1745,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_4__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red.tif,2454,2454,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_4__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red001.tif,2702,2702,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_4__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red002.tif,2681,2681,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
CRISPRi_DHS2_DHS15__Explant_4__CRISPRi_DHS2-mCherry_DHS15-GFP_OTX2_far_red003.tif,2581,2581,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"('no strong systematic discrepancy detected',)"
