label,channel,voxel_count,mean,median,min,max,integrated_intensity
403,C1,473,826.1416490486258,772.0,244.0,2709.0,390765.0
404,C1,337,840.4777448071217,807.0,265.0,2277.0,283241.0
405,C1,303,856.3300330033003,808.0,334.0,2234.0,259468.0
407,C1,388,1068.6932989690722,1004.0,292.0,2564.0,414653.0
412,C1,283,888.243816254417,865.0,295.0,2245.0,251373.0
413,C1,226,930.570796460177,883.0,307.0,2288.0,210309.0
418,C1,291,1251.701030927835,1240.0,242.0,2703.0,364245.0
419,C1,423,1148.5200945626477,1083.0,254.0,2749.0,485824.0
420,C1,228,823.6359649122807,770.0,175.0,2326.0,187789.0
421,C1,235,921.1531914893617,868.0,297.0,1970.0,216471.0
425,C1,101,1265.2970297029703,1044.0,472.0,2970.0,127795.0
426,C1,306,1203.1274509803923,1144.5,354.0,2379.0,368157.0
427,C1,238,1490.7058823529412,1259.0,223.0,3410.0,354788.0
428,C1,552,1107.1920289855072,1049.5,234.0,2473.0,611170.0
430,C1,247,998.251012145749,933.0,246.0,2557.0,246568.0
432,C1,271,1248.6752767527676,1159.0,288.0,2914.0,338391.0
433,C1,213,1157.6103286384975,1107.0,280.0,2556.0,246571.0
435,C1,242,1417.495867768595,1266.0,447.0,3228.0,343034.0
436,C1,327,1173.3302752293578,1085.0,393.0,2738.0,383679.0
443,C1,300,1217.13,1147.0,385.0,3001.0,365139.0
444,C1,366,1352.448087431694,1301.5,308.0,3219.0,494996.0
445,C1,351,1038.3732193732194,991.0,428.0,2230.0,364469.0
448,C1,234,1142.017094017094,1059.0,284.0,2316.0,267232.0
449,C1,265,1240.5622641509433,1178.0,255.0,3009.0,328749.0
450,C1,259,1134.7606177606178,1049.0,446.0,2585.0,293903.0
453,C1,216,1479.986111111111,1404.0,403.0,3811.0,319677.0
456,C1,290,1032.7448275862068,1025.0,361.0,2073.0,299496.0
457,C1,243,1025.1234567901236,978.0,284.0,2320.0,249105.0
458,C1,244,1465.3647540983607,1302.0,450.0,3552.0,357549.0
459,C1,648,1291.5015432098764,1193.0,200.0,3272.0,836893.0
460,C1,465,1272.2903225806451,1205.0,286.0,3027.0,591615.0
461,C1,205,979.4,942.0,362.0,2377.0,200777.0
462,C1,298,1507.9060402684563,1453.0,212.0,3170.0,449356.0
466,C1,241,1325.2199170124481,1279.0,200.0,3001.0,319378.0
467,C1,281,1409.4768683274021,1353.0,394.0,3099.0,396063.0
468,C1,264,1127.719696969697,1073.5,420.0,2282.0,297718.0
469,C1,194,1281.0567010309278,1184.0,258.0,3091.0,248525.0
471,C1,283,1517.3250883392227,1469.0,476.0,2910.0,429403.0
472,C1,283,1467.3851590106008,1414.0,383.0,3139.0,415270.0
473,C1,237,1396.2742616033756,1385.0,274.0,2957.0,330917.0
477,C1,368,1544.828804347826,1477.5,479.0,3296.0,568497.0
478,C1,317,1471.1514195583595,1462.0,468.0,3634.0,466355.0
479,C1,285,1363.2456140350878,1302.0,381.0,2854.0,388525.0
480,C1,370,1242.3756756756757,1168.0,327.0,2880.0,459679.0
481,C1,319,1364.4137931034484,1295.0,204.0,3280.0,435248.0
482,C1,270,1296.7148148148149,1281.5,255.0,2477.0,350113.0
483,C1,309,1398.6181229773463,1392.0,420.0,2907.0,432173.0
489,C1,21,1079.952380952381,931.0,486.0,2031.0,22679.0
490,C1,425,1308.2823529411764,1202.0,413.0,3343.0,556020.0
491,C1,343,1256.4198250728864,1199.0,268.0,2828.0,430952.0
492,C1,521,1236.7523992322456,1179.0,230.0,3083.0,644348.0
494,C1,209,961.2296650717703,884.0,237.0,2174.0,200897.0
497,C1,536,1287.8861940298507,1195.5,206.0,3743.0,690307.0
499,C1,288,909.9201388888889,843.5,292.0,3004.0,262057.0
501,C1,287,835.3449477351917,808.0,258.0,2104.0,239744.0
502,C1,436,1424.1009174311926,1351.0,444.0,3372.0,620908.0
503,C1,318,1239.993710691824,1164.5,346.0,3039.0,394318.0
510,C1,309,1249.0129449838187,1195.0,481.0,2559.0,385945.0
511,C1,305,993.7180327868853,946.0,354.0,2085.0,303084.0
512,C1,232,1142.8146551724137,1044.0,328.0,2873.0,265133.0
513,C1,395,966.2050632911393,916.0,183.0,2472.0,381651.0
518,C1,249,1309.8875502008032,1221.0,382.0,3109.0,326162.0
519,C1,299,1182.5484949832776,1136.0,336.0,2748.0,353582.0
520,C1,359,1292.275766016713,1171.0,336.0,3051.0,463927.0
524,C1,307,1303.8306188925083,1213.0,305.0,3068.0,400276.0
525,C1,238,1251.857142857143,1164.0,278.0,2892.0,297942.0
528,C1,249,1290.7751004016063,1275.0,407.0,2720.0,321403.0
529,C1,312,1005.8910256410256,978.0,333.0,2469.0,313838.0
531,C1,354,1105.8446327683616,1053.5,324.0,2935.0,391469.0
534,C1,214,857.5607476635514,816.0,313.0,2460.0,183518.0
535,C1,235,1356.3872340425532,1333.0,318.0,3157.0,318751.0
536,C1,199,1188.9145728643216,1132.0,407.0,2319.0,236594.0
539,C1,351,1407.6951566951566,1300.0,272.0,2953.0,494101.0
540,C1,225,1407.9733333333334,1294.0,260.0,4064.0,316794.0
541,C1,262,1096.2748091603053,992.5,294.0,2501.0,287224.0
543,C1,517,1396.4332688588008,1345.0,257.0,3444.0,721956.0
545,C1,290,1004.6896551724138,934.0,361.0,2817.0,291360.0
546,C1,240,1444.6291666666666,1353.5,260.0,3589.0,346711.0
548,C1,372,1136.3924731182797,1050.0,294.0,3139.0,422738.0
550,C1,276,967.3007246376811,884.5,315.0,2662.0,266975.0
551,C1,332,1325.762048192771,1224.5,277.0,3766.0,440153.0
555,C1,241,1635.0539419087138,1634.0,465.0,2996.0,394048.0
560,C1,214,871.0514018691589,830.5,263.0,2006.0,186405.0
561,C1,201,1229.134328358209,1201.0,270.0,2610.0,247056.0
562,C1,345,874.8086956521739,775.0,124.0,2872.0,301809.0
563,C1,265,1105.7962264150945,1035.0,255.0,2769.0,293036.0
564,C1,308,1302.1655844155844,1262.5,203.0,3634.0,401067.0
565,C1,210,1208.404761904762,1113.0,245.0,2933.0,253765.0
566,C1,255,1317.678431372549,1244.0,263.0,3598.0,336008.0
567,C1,351,1682.042735042735,1672.0,525.0,3540.0,590397.0
568,C1,247,1026.5587044534414,958.0,298.0,3096.0,253560.0
569,C1,200,1281.765,1202.0,329.0,2814.0,256353.0
570,C1,257,1744.1400778210116,1623.0,471.0,4095.0,448244.0
571,C1,272,1163.110294117647,1095.0,303.0,2694.0,316366.0
573,C1,331,948.6948640483383,875.0,199.0,2528.0,314018.0
574,C1,211,1411.7488151658767,1306.0,367.0,3642.0,297879.0
575,C1,279,1085.663082437276,983.0,273.0,3039.0,302900.0
576,C1,328,1144.966463414634,1053.5,339.0,2633.0,375549.0
578,C1,258,899.4496124031008,832.0,370.0,2645.0,232058.0
579,C1,471,1519.9511677282378,1465.0,277.0,3795.0,715897.0
580,C1,282,1234.4468085106382,1139.5,292.0,2733.0,348114.0
581,C1,342,1093.3391812865498,1023.5,289.0,2770.0,373922.0
582,C1,297,1225.4242424242425,1110.0,365.0,3179.0,363951.0
583,C1,290,1110.6689655172413,1025.5,297.0,2674.0,322094.0
584,C1,252,1066.6785714285713,977.5,347.0,3192.0,268803.0
585,C1,262,1487.473282442748,1436.0,459.0,3302.0,389718.0
586,C1,461,1407.650759219089,1303.0,401.0,3098.0,648927.0
587,C1,228,1246.0263157894738,1204.0,392.0,2656.0,284094.0
588,C1,417,1567.947242206235,1564.0,315.0,3174.0,653834.0
590,C1,459,1458.888888888889,1360.0,317.0,3248.0,669630.0
591,C1,294,1431.4829931972788,1380.5,322.0,3214.0,420856.0
595,C1,277,1015.3501805054152,918.0,196.0,2545.0,281252.0
639,C1,259,1153.980694980695,1117.0,488.0,2301.0,298881.0
645,C1,262,1320.0992366412213,1321.0,413.0,2915.0,345866.0
647,C1,236,1052.9110169491526,984.0,254.0,2561.0,248487.0
