label,voxel_count,volume_um3,centroid_z_px,centroid_y_px,centroid_x_px,centroid_z_um,centroid_y_um,centroid_x_um,bbox_z0_px,bbox_y0_px,bbox_x0_px,bbox_z1_px,bbox_y1_px,bbox_x1_px
11,261,129.64019570371062,3.1417624521072796,25.406130268199234,85.14942528735632,4.712643678160919,14.619835174201203,48.99882625719311,1,23,78,6,30,92
12,289,143.54795616234622,3.01038062283737,39.32871972318339,111.65743944636678,4.515570934256055,22.631522152155412,64.25273520393304,1,35,107,6,45,118
15,316,156.9590108903163,3.2816455696202533,42.107594936708864,31.667721518987342,4.92246835443038,24.23061249619997,18.223037670935902,1,38,26,6,48,39
16,262,130.13690143437617,3.095419847328244,43.225190839694655,225.34351145038167,4.643129770992366,24.873727670393436,129.6728372326736,1,39,221,6,49,230
19,331,164.40959685029966,3.7492447129909365,43.90030211480362,19.22356495468278,5.623867069486405,25.262217198792502,11.062107772067765,1,39,14,7,50,27
26,238,118.21596389840278,2.7142857142857144,66.00840336134453,121.81512605042016,4.071428571428571,37.984217473015676,70.0979269877575,1,62,117,6,71,127
27,323,160.4359510049752,3.606811145510836,65.91640866873065,40.139318885448915,5.410216718266254,37.931279570677994,23.097977532001323,1,57,36,7,75,45
28,281,139.57431031702177,3.6298932384341636,66.41637010676156,68.11743772241992,5.444839857651245,38.21897996976701,39.19785112797034,1,62,64,7,73,73
30,415,206.13287822620651,3.7542168674698795,69.1156626506024,57.81204819277109,5.63132530120482,39.77227485022739,33.2676644077208,1,64,52,7,76,65
31,427,212.0933469941932,3.6721311475409837,71.44730679156909,90.66276346604215,5.508196721311475,41.114008229768984,52.1714501310819,1,67,84,7,78,98
32,225,111.75878939975053,3.24,71.80444444444444,149.15555555555557,4.86,41.31952137027564,85.83084533216456,1,68,145,6,76,155
33,224,111.26208366908497,2.9955357142857144,73.06696428571429,185.73660714285714,4.493303571428571,42.04603232604396,106.88123510264916,1,70,180,6,78,191
38,203,100.83126332510825,3.2019704433497536,77.83251231527093,135.91625615763547,4.80295566502463,44.788343963879846,78.21235432325373,1,74,131,6,83,141
41,223,110.7653779384194,3.42152466367713,79.41255605381166,53.94170403587444,5.132286995515695,45.697572515478996,31.040493522429095,1,75,49,6,84,61
42,342,169.8733598876208,3.2514619883040936,79.98245614035088,106.89766081871345,4.87719298245614,46.02551877266226,61.51374354060684,1,75,102,6,86,113
50,234,116.22914097574055,3.1837606837606836,82.55555555555556,87.35897435897436,4.7756410256410255,47.506196425654245,50.27030061772565,1,77,83,6,88,92
53,245,121.69290401306168,3.3183673469387753,82.28979591836735,227.5591836734694,4.977551020408163,47.353266323720916,130.94783513119827,1,77,223,6,88,234
55,289,143.54795616234622,3.688581314878893,85.69204152249135,16.705882352941178,5.53287197231834,49.31107215362738,9.61331945720626,1,81,12,7,93,22
56,244,121.19619828239613,3.418032786885246,85.82377049180327,237.86065573770492,5.1270491803278695,49.38687495392312,136.8757675648627,1,81,234,6,92,243
60,294,146.03148481567402,3.2551020408163267,88.86734693877551,158.89455782312925,4.88265306122449,51.13828634657079,91.43510723313256,1,84,155,6,95,164
63,262,130.13690143437617,3.480916030534351,89.88931297709924,79.30916030534351,5.221374045801527,51.726371776197425,45.63807393051702,1,86,74,7,95,85
64,301,149.50842493033292,3.255813953488372,91.19601328903654,123.33554817275747,4.883720930232558,52.47830617080741,70.97284656776154,1,87,118,6,96,130
68,231,114.73902378374387,3.1471861471861473,92.81385281385282,176.65800865800867,4.720779220779221,53.40928412539689,101.6569993744961,1,89,171,6,97,183
73,262,130.13690143437617,3.427480916030534,97.57633587786259,237.64503816793894,5.141221374045801,56.14983204358571,136.75169147388138,1,93,233,6,103,245
74,149,74.00915386916813,3.2550335570469797,98.20805369127517,253.5234899328859,4.882550335570469,56.51335101366117,145.88886998845422,1,94,251,6,104,256
80,240,119.2093753597339,3.625,101.91666666666667,129.10416666666666,5.4375,58.64745447029792,74.29237026828214,1,98,125,7,107,134
84,286,142.05783897034956,3.4825174825174825,106.41608391608392,119.5909090909091,5.223776223776223,61.23662243377859,68.81801206185409,1,100,114,6,115,124
86,301,149.50842493033292,3.4983388704318936,101.71428571428571,138.6312292358804,5.24750830564784,58.53099532697412,79.77467249163757,1,97,133,6,108,146
87,645,320.37519627928486,3.685271317829457,108.45736434108527,245.65271317829456,5.527906976744186,62.41126741287632,141.35966945179905,1,98,239,6,121,253
89,548,272.19474040472574,3.821167883211679,104.6970802919708,60.12408759124087,5.731751824817518,60.24743008598349,34.5981163327114,1,93,52,7,117,67
95,157,77.98279971449259,3.337579617834395,109.96178343949045,253.38216560509554,5.006369426751593,63.27697812991277,145.80754558538345,1,105,251,6,115,256
100,227,112.75220086108165,3.2819383259911894,112.94273127753304,21.14977973568282,4.922907488986784,64.9923501914984,12.170538781082138,1,108,18,6,118,27
107,503,249.84298252477564,3.2186878727634194,119.73359840954275,234.31610337972168,4.828031809145129,68.90012194232472,134.83607199954062,1,114,226,6,126,244
109,752,373.5227094604995,3.63031914893617,120.02792553191489,196.39228723404256,5.445478723404255,69.0694910658769,113.0129948377058,1,107,190,7,133,204
121,259,128.64678424237948,3.393822393822394,123.6988416988417,251.54054054054055,5.090733590733591,71.1819020758274,144.74779132087144,1,119,247,7,130,256
128,214,106.2950263624294,3.4766355140186915,128.8551401869159,119.95327102803738,5.214953271028037,74.14906918112189,69.02653149154665,1,123,116,6,135,125
136,214,106.2950263624294,4.196261682242991,129.69626168224298,6.700934579439252,6.294392523364486,74.63308849037308,3.856020497034589,1,126,2,8,136,12
141,289,143.54795616234622,3.7889273356401385,130.74740484429066,87.17993079584775,5.6833910034602075,75.23796375517723,50.16727086253349,1,124,81,7,138,93
142,319,158.44912808231297,3.3510971786833856,128.9655172413793,108.52978056426332,5.0266457680250785,74.2125851249604,62.45293897936933,1,122,103,7,137,115
149,322,159.93924527430966,3.360248447204969,135.36335403726707,176.26708074534162,5.040372670807454,77.89418946375247,101.4320417919027,1,128,172,6,144,182
157,408,202.6559381115476,4.348039215686274,138.4485294117647,13.889705882352942,6.522058823529411,79.6695387586869,7.992764284622634,1,133,8,8,146,20
158,373,185.2712375382531,3.35656836461126,142.67292225201072,237.85790884718497,5.03485254691689,82.10044525186414,136.87418687995637,1,136,230,6,150,246
165,209,103.8114977091016,3.1291866028708135,141.2488038277512,203.93301435406698,4.69377990430622,81.28094317061732,117.35226990339254,1,137,200,6,146,209
171,212,105.30161490109828,3.009433962264151,143.95283018867926,171.98584905660377,4.514150943396227,82.83696210329775,98.96842765739363,1,140,166,6,150,179
172,365,181.29759169292862,3.4986301369863013,145.3068493150685,188.57260273972602,5.247945205479452,83.61612588154951,108.51319509589854,1,137,183,6,156,195
174,506,251.3330997167723,3.889328063241107,147.89328063241106,26.808300395256918,5.83399209486166,85.10447531335066,15.426707213640883,1,142,19,7,155,37
182,116,57.617864757204714,3.8189655172413794,145.50862068965517,253.91379310344828,5.728448275862069,83.73223424627051,146.11346806621552,2,140,251,6,153,256
186,566,281.13544355670575,3.6307420494699647,152.37632508833923,97.12190812720848,5.446113074204947,87.68422163175494,55.88833378536959,1,142,91,6,162,104
191,246,122.18960974372725,2.8821138211382116,155.2520325203252,249.8617886178862,4.323170731707317,89.33903360906281,143.7817616206183,1,148,246,5,163,256
208,310,153.97877650632296,3.5483870967741935,157.58387096774194,31.306451612903224,5.32258064516129,90.6808788013143,18.015146645242783,1,152,26,7,164,38
209,495,245.86933667945115,3.987878787878788,159.6060606060606,153.51717171717172,5.9818181818181815,91.84453807925641,88.34071632403993,1,152,142,7,169,161
